System,Dataset,Model,Avg_MAPE,Avg_MAE,Avg_RMSE
batlik,corona.csv,LinearRegression,0.12242107514744409,0.18204390844427643,0.2634633985417066
batlik,corona.csv,RandomForest,0.032814555318939495,0.04759606481481482,0.06296378831721029
batlik,corona.csv,DecisionTree,0.042602990442063275,0.06146412037037036,0.08133468127375937
batlik,corona.csv,SVM,0.11926688321128547,0.20026167649209667,0.3594534392252891
batlik,cranium.csv,LinearRegression,0.03368106614574228,0.07068065736206951,0.0991635902924108
batlik,cranium.csv,RandomForest,0.020397012225266603,0.04112644675925919,0.05357116038939003
batlik,cranium.csv,DecisionTree,0.026895229202654355,0.05398148148148149,0.06982784695157905
batlik,cranium.csv,SVM,0.15208324324667916,0.370750321079724,0.5852870885676104
batlik,cubus.csv,LinearRegression,0.039607979192051494,0.24452396251127775,0.34081548848793863
batlik,cubus.csv,RandomForest,0.01862693776421691,0.11533287037037072,0.14731763870129588
batlik,cubus.csv,DecisionTree,0.02397053067090589,0.14858217592592596,0.19213769628288324
batlik,cubus.csv,SVM,0.1398841739013104,0.8128786117450358,0.9246879175347397
batlik,flame.csv,LinearRegression,0.03220983369089945,0.05803969290769068,0.07808691553600654
batlik,flame.csv,RandomForest,0.019972497076800263,0.03602077546296293,0.04599493953783992
batlik,flame.csv,DecisionTree,0.025744282832230122,0.04647569444444446,0.05990994653671353
batlik,flame.csv,SVM,0.1957315346339493,0.32952316140793086,0.3578660438141106
batlik,france.csv,LinearRegression,0.04002155449677391,0.14802483213723142,0.19574069432415062
batlik,france.csv,RandomForest,0.02261705064794539,0.07989010416666663,0.10127162774187204
batlik,france.csv,DecisionTree,0.030048318665614537,0.10653935185185186,0.1374215435513764
batlik,france.csv,SVM,0.12653356912034255,0.6053285628018976,1.0827747067161961
batlik,frisco.csv,LinearRegression,0.05059743245427841,0.24654983311602197,0.3352460779252237
batlik,frisco.csv,RandomForest,0.03221382940273522,0.14922366898148132,0.18811571589166662
batlik,frisco.csv,DecisionTree,0.040966391530826145,0.1904513888888889,0.24132409796845208
batlik,frisco.csv,SVM,0.1370460937463662,0.6754709031782804,0.8658876032686139
batlik,jelly.csv,LinearRegression,0.1700740860884118,0.3236106244008392,0.44192109927854606
batlik,jelly.csv,RandomForest,0.02259065676652214,0.04190347222222226,0.06572447757519038
batlik,jelly.csv,DecisionTree,0.02984598643228049,0.05704282407407407,0.09660951684579543
batlik,jelly.csv,SVM,0.14911327925590404,0.34108260901976745,0.6483397120339092
batlik,karte.csv,LinearRegression,0.15079006491882982,1.4928765905575754,1.8997822712468428
batlik,karte.csv,RandomForest,0.01919775293845025,0.24227418981481483,0.32619432286782213
batlik,karte.csv,DecisionTree,0.025358863117390506,0.31669560185185186,0.42938027645414195
batlik,karte.csv,SVM,0.12772493771281415,1.2648975007721284,2.5606923590151744
batlik,mandelbrot.csv,LinearRegression,0.047244026878407626,0.06259177845382337,0.08503355049957904
batlik,mandelbrot.csv,RandomForest,0.02132262781270759,0.02766672453703703,0.036406522923724205
batlik,mandelbrot.csv,DecisionTree,0.02807599010932009,0.03642361111111111,0.04793718181807808
batlik,mandelbrot.csv,SVM,0.06962853097133898,0.09279929377474005,0.11932099885863057
batlik,strawberry.csv,LinearRegression,0.05478430333622499,0.09442288605795002,0.13196881893898707
batlik,strawberry.csv,RandomForest,0.023101569620757392,0.03709965277777775,0.04731920968140576
batlik,strawberry.csv,DecisionTree,0.03143687550683846,0.05066550925925926,0.06384238677046468
batlik,strawberry.csv,SVM,0.13058056424382614,0.22499653089207372,0.29484571754870736
batlik,village.csv,LinearRegression,0.5736707220246596,1.7949918009614365,2.4433192341568546
batlik,village.csv,RandomForest,0.02230592809282239,0.09832586805555543,0.25414868092356974
batlik,village.csv,DecisionTree,0.028717350748708886,0.12719328703703703,0.3923589675801951
batlik,village.csv,SVM,0.2236857246348506,1.4997066070447795,3.8054000001263675
dconvert,jpeg-large.csv,LinearRegression,0.1347027743248974,0.41914411739662577,0.5702687192136119
dconvert,jpeg-large.csv,RandomForest,0.02789547378353578,0.09181744279753878,0.1303782000481514
dconvert,jpeg-large.csv,DecisionTree,0.029923348787072767,0.09919971915166594,0.1437211249083169
dconvert,jpeg-large.csv,SVM,0.125323236314524,0.4394888235961205,0.777435090885456
dconvert,jpeg-medium.csv,LinearRegression,0.10186278767717394,0.17826777517093786,0.2432569478212002
dconvert,jpeg-medium.csv,RandomForest,0.022879278936316194,0.03994595571933668,0.053907742404073776
dconvert,jpeg-medium.csv,DecisionTree,0.02454519663527303,0.04294156555344333,0.05892689058853984
dconvert,jpeg-medium.csv,SVM,0.07883601390630239,0.1572077465749083,0.2876951796505367
dconvert,jpeg-small.csv,LinearRegression,0.035337344114050324,0.015177951051212892,0.019362135186221496
dconvert,jpeg-small.csv,RandomForest,0.03443624499369976,0.014784873070911522,0.01927356303642798
dconvert,jpeg-small.csv,DecisionTree,0.036780637851724834,0.01578716937736159,0.020904989661705092
dconvert,jpeg-small.csv,SVM,0.07548051647699815,0.03105963528831938,0.03705568121222278
dconvert,png-large.csv,LinearRegression,0.09291242352209485,0.22014856786572742,0.2817453905334039
dconvert,png-large.csv,RandomForest,0.02544228952123896,0.061312068691326084,0.0808013084293495
dconvert,png-large.csv,DecisionTree,0.02706562826630927,0.06533120545737599,0.08768739142982691
dconvert,png-large.csv,SVM,0.07801603704232846,0.20382871461868204,0.34160765323567505
dconvert,png-medium.csv,LinearRegression,0.03557811093112636,0.0231396094769984,0.029174028075662006
dconvert,png-medium.csv,RandomForest,0.02769297341117828,0.0175579507697347,0.022172470023719998
